time_s,tag_id,angle_raw_deg,angle_zeroed_deg
1779320556.123163,7,-54.9800,34.8474
1779320556.156727,12,128.2887,-51.2635
1779320556.156727,7,-54.9272,34.9003
1779320556.189785,12,128.1669,-51.3854
1779320556.189785,7,-55.0304,34.7971
1779320556.222135,12,128.1909,-51.3614
1779320556.222135,7,-55.1458,34.6816
1779320556.256774,12,128.0958,-51.4565
1779320556.256774,7,-55.1250,34.7024
1779320556.291385,12,128.0006,-51.5517
1779320556.291385,7,-55.0558,34.7716
1779320556.320926,12,127.9778,-51.5745
1779320556.320926,7,-55.1459,34.6815
1779320556.356424,12,127.9835,-51.5688
1779320556.356424,7,-55.1250,34.7024
1779320556.390353,12,127.9622,-51.5900
1779320556.390353,7,-55.1269,34.7006
1779320556.424041,12,127.9308,-51.6214
1779320556.424041,7,-54.9693,34.8582
1779320556.456331,12,127.8575,-51.6947
1779320556.456331,7,-55.0138,34.8136
1779320556.612458,12,127.8752,-51.6770
1779320556.612458,7,-55.0683,34.7592
1779320556.656411,12,161.1973,-18.3550
1779320556.656411,7,-30.3409,59.4866
1779320556.690319,12,166.4498,-13.1024
1779320556.690319,7,-32.1250,57.7025
1779320556.721496,12,168.3321,-11.2202
1779320556.721496,7,-31.2582,58.5692
1779320556.755368,12,171.1571,-8.3952
1779320556.755368,7,-31.3616,58.4658
1779320556.792036,12,172.6696,-6.8827
1779320556.792036,7,-31.9744,57.8531
1779320556.823201,7,-32.1956,57.6319
1779320556.823201,12,174.4325,-5.1198
1779320556.856879,7,-32.2452,57.5823
1779320556.856879,12,175.3301,-4.2221
1779320556.890412,7,-32.4882,57.3393
1779320556.890412,12,175.9561,-3.5962
1779320556.922559,7,-32.6341,57.1933
1779320556.922559,12,176.6509,-2.9014
1779320556.957652,7,-32.7310,57.0964
1779320556.957652,12,177.2413,-2.3109
1779320556.991180,7,-32.8039,57.0235
1779320556.991180,12,177.0330,-2.5193
1779320557.137425,12,177.6110,-1.9412
1779320557.137425,7,-32.9428,56.8847
1779320557.189331,12,178.3968,-1.1555
1779320557.189331,7,-33.0365,56.7910
1779320557.322951,7,-32.9689,56.8585
1779320557.322951,12,178.2466,-1.3056
1779320557.661209,7,-32.9210,56.9065
1779320557.661209,12,178.0549,-1.4974
1779320557.822854,12,133.4475,-46.1048
1779320557.822854,7,-51.9657,37.8617
1779320557.959858,12,129.8304,-49.7218
1779320557.959858,7,-54.3306,35.4969
1779320558.152929,12,128.6203,-50.9320
1779320558.152929,7,-54.2959,35.5315
1779320558.291890,12,128.2203,-51.3320
1779320558.291890,7,-54.6524,35.1750
1779320558.425930,7,-54.7147,35.1128
1779320558.425930,12,128.1320,-51.4203
1779320558.691256,12,166.0487,-13.5036
1779320558.691256,7,-26.7794,63.0480
1779320558.826648,7,-32.3842,57.4432
1779320558.826648,12,174.1372,-5.4151
1779320558.957948,7,-32.6811,57.1464
1779320558.957948,12,176.8357,-2.7166
